protein	gene_symbol	pathway_theme	protein_median_cluster1	protein_median_cluster2	protein_diff	protein_p_value	protein_fdr	rna_median_cluster1	rna_median_cluster2	rna_diff	rna_p_value	rna_fdr	concordant_direction
CYCLINE1	CCNE1	Cell cycle	-0.948951329	-1.300750728	0.3517993989999999	2.8452489097519983e-24	9.294479771856528e-23	5.1030687805227695	4.5832482823413745	0.519820498181395	5.177766351695841e-5	7.538678807598592e-4	Up in Cluster 1 at both layers
CHK2_pT68	CHEK2	DNA damage response	-0.5768284130000001	-0.883563774	0.3067353609999999	5.6870292415613465e-24	1.5923681876371773e-22	7.039318912014005	6.749038088335092	0.2902808236789136	9.029849933157368e-4	0.00635638618946917	Up in Cluster 1 at both layers
GATA3	GATA3	Transcriptional regulation	0.046840358	-0.277401314	0.324241672	5.623255275762652e-22	1.1021580340494796e-20	6.398170047763312	6.225458109039878	0.1727119387234337	0.14176856080137412	0.27319673714513515	Up in Cluster 1 at both layers
P21	CDKN1A	Cell cycle arrest	0.5122897035	0.21418066	0.2981090435	1.1888402323890594e-21	2.1182971413477783e-20	12.131430232583051	12.045892732602518	0.08553749998053561	0.41823284587989873	0.5772092426975853	Up in Cluster 1 at both layers
BAK	BAK1	Apoptosis	2.0081838835	1.507512283	0.5006716005	1.1587368123680336e-20	1.6222315373152473e-19	8.957191867248614	8.66441172785495	0.2927801393936633	4.843332650074072e-4	0.00400405907566172	Up in Cluster 1 at both layers
BCLXL	BCL2L1	Apoptosis	-0.021697054	-0.353916012	0.332218958	1.3672692088736382e-20	1.6749047808702068e-19	12.176922689280088	11.910638983204914	0.26628370607517304	0.00359126042003935	0.01819272299893777	Up in Cluster 1 at both layers
CYCLINB1	CCNB1	Cell cycle	-1.0437891865	-1.439215766	0.3954265795	1.8573149987534556e-11	6.698084428110683e-11	7.85655697676216	7.541514839460679	0.31504213730148134	0.00284461999178288	0.01521792741044196	Up in Cluster 1 at both layers
IGFBP2	IGFBP2	Growth signaling	-0.0568473555	-0.472555555	0.4157081995	5.987453856884225e-10	1.8054476245373966e-9	8.722282132480082	8.32586308444051	0.3964190480395722	0.01195244795321202	0.044270432224946	Up in Cluster 1 at both layers
ASNS	ASNS	Metabolism	-1.068787431	-1.490489174	0.42170174299999985	4.582797954641535e-8	1.0954004867191963e-7	9.20810867782118	8.536422077216843	0.6716866006043372	1.7785608824395266e-7	1.1801480373380704e-5	Up in Cluster 1 at both layers
TFRC	TFRC	Iron metabolism / growth	0.263124784	-0.063752895	0.326877679	0.00886325259761729	0.0124085536366642	10.666818960753368	10.51116952903621	0.1556494317171584	0.05576993160653545	0.13814833241775576	Up in Cluster 1 at both layers
SMAC	DIABLO	Apoptosis	0.250067046	-0.075399037	0.325466083	0.0664856206636829	0.08300115700689074	9.958764668580066	9.782095628154853	0.1766690404252138	2.9667559739149135e-4	0.00274536842250068	Up in Cluster 1 at both layers
